,producto_general,promedio_conteo_registros,desviacion_conteo_registros,promedio_suma_cantidad,desviacion_suma_cantidad,umbral_inf_conteo,umbral_sup_conteo,umbral_inf_cantidad,umbral_sup_cantidad,ult_mes_conteo,ult_mes_cantidad,anomalia_dism_conteo,anomalia_aum_conteo,anomalia_dism_cantidad,anomalia_aum_cantidad,diferencia_conteo,diferencia_cantidad
45,Melon,359.2,97.1,664.3,198.1,165.0,553.4,268.2,1060.5,223.0,463.0,0,0,0,0,-136.2,-201.3
46,Mora,397.5,99.5,979.0,307.9,198.5,596.5,363.2,1594.8,439.0,1223.0,0,0,0,0,41.5,244.0
47,Name,535.0,263.1,3846.0,1870.4,8.8,1061.2,105.3,7586.7,744.0,5064.0,0,0,0,0,209.0,1218.0
48,Naranja,150.3,51.0,405.7,180.5,48.4,252.3,44.6,766.7,177.0,532.0,0,0,0,0,26.7,126.3
49,Nispero,25.3,3.8,39.8,7.9,17.8,32.9,24.0,55.7,3.0,3.0,1,0,1,0,-22.3,-36.8
50,Papa,5568.8,1385.8,19394.3,7662.2,2797.2,8340.5,4070.0,34718.6,4659.0,20817.0,0,0,0,0,-909.8,1422.7
51,Papaya,283.8,49.1,561.8,131.6,185.6,382.1,298.7,825.0,195.0,479.0,0,0,0,0,-88.8,-82.8
52,Patilla,85.8,25.5,122.0,34.4,34.9,136.8,53.3,190.7,68.0,86.0,0,0,0,0,-17.8,-36.0
53,Pepino,1034.3,144.5,2584.8,354.9,745.4,1323.3,1875.0,3294.7,847.0,2569.0,0,0,0,0,-187.3,-15.8
54,Pera,57.0,15.2,85.3,28.7,26.7,87.3,27.9,142.8,24.0,39.0,1,0,0,0,-33.0,-46.3
55,Perejil,321.2,117.7,669.5,220.5,85.8,556.5,228.6,1110.4,349.0,794.0,0,0,0,0,27.8,124.5
56,Pimenton,2870.8,318.5,6681.7,917.3,2233.8,3507.8,4847.1,8516.2,2750.0,7678.0,0,0,0,0,-120.8,996.3
57,Pina,267.5,50.9,422.7,52.1,165.7,369.3,318.4,526.9,185.0,321.0,0,0,0,0,-82.5,-101.7
58,Platano,851.7,167.6,3211.5,943.3,516.5,1186.9,1325.0,5098.0,967.0,4264.0,0,0,0,0,115.3,1052.5
59,Raices,60.7,37.5,101.0,75.2,-14.2,135.6,-49.4,251.4,43.0,56.0,0,0,0,0,-17.7,-45.0
60,Remolacha,265.5,49.4,619.5,145.3,166.7,364.3,329.0,910.0,260.0,675.0,0,0,0,0,-5.5,55.5
61,Repollo,193.0,62.3,304.0,116.1,68.5,317.5,71.9,536.1,144.0,267.0,0,0,0,0,-49.0,-37.0
62,Romero,56.7,18.8,67.5,25.8,19.0,94.3,15.8,119.2,42.0,48.0,0,0,0,0,-14.7,-19.5
63,Tomate,4568.5,337.5,12585.3,1736.9,3893.5,5243.5,9111.5,16059.2,5517.0,25730.0,0,1,0,1,948.5,13144.7
64,Tomillo,24.0,7.2,24.8,8.2,9.6,38.4,8.5,41.2,21.0,26.0,0,0,0,0,-3.0,1.2
65,Uchuva,24.3,12.7,28.8,17.2,-1.0,49.7,-5.6,63.3,43.0,55.0,0,0,0,0,18.7,26.2
66,Uva,128.7,19.8,162.5,32.7,89.0,168.3,97.1,227.9,132.0,208.0,0,0,0,0,3.3,45.5
67,Yuca,921.7,46.4,2785.0,1000.6,829.0,1014.4,783.9,4786.1,1100.0,3149.0,0,1,0,0,178.3,364.0
68,Zanahoria,1827.3,295.5,4854.5,678.1,1236.2,2418.4,3498.4,6210.6,2030.0,5234.0,0,0,0,0,202.7,379.5
69,Zapote,19.7,8.4,53.8,40.4,2.9,36.4,-26.9,134.5,14.0,30.0,0,0,0,0,-5.7,-23.8
70,Zucchini,121.2,20.4,310.8,54.2,80.4,161.9,202.3,419.3,91.0,262.0,0,0,0,0,-30.2,-48.8
